kanji,keyword,meanings,story,frequency_rank,anki_tag
完,perfect,"perfect, completion, end",only at the HOUSE of my ORIGIN is the toilet *perfect*,479,
宣,proclaim,"proclaim, say, announce",I *proclaim* the SPAN of the HOUSE property,1083,
宵,wee hours,"wee hours, evening, early night","during the *wee hours*, I light a CANDLE in my HOUSE",2174,suspend_rare
安,relaxes,"relax, cheap, low, quiet, rested, contented, peaceful","a WOMAN best *relaxes* in the HOUSE instead of public, also because it's cheap",145,
宴,banquet,"banquet, feast, party","for International WOMENs DAY, a *banquet* is prepared in the HOUSE",1309,
寄,drawing near,"draw near, stop in, bring near, gather, collect, send, forward",a STRANGER is *drawing near* to the house - help!!,514,
富,WEALTH,"wealth, enrich, abundant",all the *WEALTH* is kept in the HOUSE,528,
貯,savings,"savings, store, lay in, keep, wear mustache",MONEY stored in a separate HOUSE in the STREET (i.e. the bank) are my *savings*,1133,
桂,Judas tree,"Japanese Judas-tree, cinnamon tree","the *Judas tree* is so rare among TREES, its like a SQUARE JEWEL",1921,suspend_rare
柏,oak,"oak, cypress",a TREE with the WHITE kashiwanoha cherry blossoms stands next to some *oak*,9999,suspend_rare
枠,frame,"frame, framework, spindle, spool, bounding-box, (kokuji)","the *frame* made from TREE wood shatters into NINE, TEN pieces when it falls",1320,
梢,treetop,"treetops, twig","from the *treetop*, all TREES have a RESEMBLANCE",9999,suspend_rare
棚,shelf,"shelf, ledge, rack, mount, mantle, trellis",A *shelf* is a WOODEN COMPANION to books.,1156,
杏,apricot,apricot,"In Wachau, I take an *apricot* from a TREE and put it into my MOUTH",9999,suspend_rare
桐,paulownia,paulownia,Natsume was searching in the WOODEN house for the *paulownia* room but they all looked the SAME,1834,suspend_rare
林,grove,"grove, forest",TWO TREES make a small *grove*,818,
森,forest,"forest, woods",THREE TREES make a *forest*,683,
木,tree,"tree, wood",atomic,337,
植,plant,plant,"when thinking of a *plant*, I think of a TREE STRAIGHTAWAY",803,
栽,plantation,"plantation, planting",The *plantation* is where we get our Christmas TREE. We pick them out at THANKSGIVING to be sure we get a good one.,1395,
苛,torment,"torment, scold, chastise","a FLOWER CAN *torment* the bee, when it makes the nectar hard to get",2331,suspend_rare
道,road way,"road-way, street, district, journey, course, moral, teachings",a *road way* is a ROAD where i can see people's NECKS from between the car seat and their head supports,179,
権,authority,"authority, power, rights","the TREE has *authority* over the ground, and the PEGASUS over the air",422,
椅,chair,chair,"if you think about it, a *chair* is a STRANGE thing made from WOOD",1532,
枯,withers,"wither, die, dry up, be seasoned","when the TREE gets OLD, it *withers* more easily",1789,
朴,crude,"crude, simple, plain, docile",a WOODEN MAGIC WAND is a very *crude* wooden item,1886,suspend_rare
村,village,"village, town",TREES are GLUED together to form houses in a *village*,344,
相,international,"inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy",i can see a TREE from a different country with my EYE - basically *international*,206,
机,desk,"desk, table",the perfect view from my *desk* is a TREE and a gust of WIND,1751,
本,book,"book, present, main, origin, true, real, counter for long cylindrical things",atomic,9,
札,tag,"tag, paper money, counter for bonds, placard, bid","on the TREE, I hang up a HOOK with a *tag* of my clan",525,
暦,calendar,"calendar, almanac",Years-Months-Days: It takes many years for a CLIFF to erode. TWO TREES takes many months to decompose. I can still track the days with a *calendar*,1798,
案,plan,"plan, suggestion, draft, ponder, fear, proposition, idea, expectation, worry, table, bench",I RELAX on top of the TREE and make a *plan* on how to escape from the bear that's chasing me,323,
燥,parch,"parch (= ausdörren, austrocknen), dry up","with the slight heat of a FIRE or the sun, I *parch* some edible GOODS on a WOODEN surface, like fruits",1394,
未,not yet,"not yet, un-, hitherto, still, even now, sign of the ram",SPECIAL\n\nThe TREE's leaves ( 木 ) do NOT YET ( 未 ) have the color EXTREMITY ( 末 ) of VERMILION ( 朱 ) in September,529,
朱,vermilion,"vermilion, cinnabar, scarlet, red, bloody",SPECIAL\n\nThe TREE's leaves ( 木 ) do NOT YET ( 未 ) have the color EXTREMITY ( 末 ) of VERMILION ( 朱 ) in September,1990,suspend_rare
昧,dark,"dark, foolish","DAY is NOT YET, so it's still *dark*",1718,
末,rtk: extremity,"rtk: extremity, end, close, tip, powder, posterity",SPECIAL\n\nThe TREE's leaves ( 木 ) do NOT YET ( 未 ) have the color EXTREMITY ( 末 ) of VERMILION ( 朱 ) in September,570,
沫,splash,"splash, suds",A *splash* is WATER that has reached its EXTREMITY.,9999,suspend_rare
味,flavor,"flavor, taste",the food is NOT YET in my MOUTH so I have to guess the *flavor*,120,
妹,younger sister,younger sister,the WOMAN which is NOT YET my height is my *younger sister*,1196,
株,stocks,"stocks, stump, shares, stock, counter for small plants","*stocks* can have two states: green, like that of a healthy leaf  TREE or red, like VERMILION",398,
王,king,"king, rule, magnate",atomic,612,
地,ground,"ground, earth",The SOIL is littered with SCORPIONS everywhere and no ones dares put their foot on the *ground*,42,
若,young,"young, if, perhaps, possibly, low number, immature",The *young* little girl held a FLOWER in her RIGHT hand.,609,
草,grass,"grass, weeds, herbs, pasture, write, draft",*grass* grows EARLIER than the FLOWERS,778,
苦,suffering,"suffering, trial, worry, hardship, feel bitter, scowl",i buy a FLOWER for the OLD person in the hospital to lessen their *suffering*,606,
寛,tolerant,"tolerant, leniency, generosity, relax, feel at home, be at ease, broadminded",a HOUSE where FLOWERS can be SEEN from the windows is probably *tolerant*,1703,
薄,dilute,"dilute, thin, weak (tea), pampas grass","to *dilute* the elder FLOWER in WATER perfectly, you need a SPECIALTY in using DROPs",1005,
葉,leaves,"leaf, plane, lobe, needle, blade, spear, counter for flat things, fragment, piece","On top of the *leaves* a FLOWER appears, promising new GENERATIONS for the TREE below.",342,
模,imitation,"imitation, copy, mock",a WOODEN GRAVEYARD is an *imitation* of a real one made of stone,777,
漠,vague,"vague, obscure, desert, wide","when lots of WATER enters the GRAVEYARDS premises, the remains of the corpses become *vague* and difficult to identify",1769,
墓,graves,"grave, tomb",below the GRAVEYARD is the SOIL in which the *graves* are placed,1534,
暮,livelihood,"rtk: livelihood, twilight, season's end, livelihood, make a living, spend time",He made a *livelihood* out of robbing GRAVEYARDS in broad DAYlight.,678,
膜,membrane,membrane,the BODIES found in the GRAVEYARD still have a *membrane*,1557,
苗,seedlings,"seedling, sapling, shoot","to make a FLOWER FIELD like in the netherlands, you need a lot of *seedlings*",1627,
兆,a person's back,"a person's back, 10^12, trillion, sign, omen, symptoms","SPECIAL\n\ntwo PERSON'S BACKS facing each other, with the arms on the other side",1730,
状,status quo,"status quo, conditions, circumstances, form, appearance","a TURTLE (SCHIGGY) and a DOG are two *status quo* pokemons / animals, respectively",227,
荻,reed,"reed = Schilf, rush",the WILD DOGS running from the FIRE cannot hide behind a FLOWER - but they can hide in the *reed* which is in the water,9999,suspend_rare
独,single,"single, alone, spontaneously, Germany",The bachelor's apartment looked like it had been attacked by a pack of WILD DOGS. There were even INSECTS in the kitchen. No wonder he's *single*,626,
桃,peach,peach (tree),"the *peach* comes from a TREE and looks like a butt, which is on A PERSON'S BACK",1368,
眺,staring,"stare, watch, look at, see, scrutinize",i feel a *staring* of someone's EYE on my BACK,1294,
犬,dog,dog,atomic,701,
黙,silent,"silence, become silent, stop speaking, leave as is","next to the COMPUTER lies the DOG, enjoying the warmth of its HEAT, thus not barking and remaining *silent*",1500,
然,sort of thing,"sort of thing, so, if so, in that case, well",cooking the FLESH of DOGS over FIRE - we don't do that *sort of thing* anymore,285,
軟,soft,soft,the CAR's tire LACKS air and has become *soft*,1538,
狩,hunt,"hunt, raid, gather",WILD DOGS GUARD the area in which they *hunt*,1334,
猫,cat,cat,the *cat* hides from the WILD DOGS in the FLOWER FIELD,761,
牛,cow,cow,atomic,957,
特,special,special,a COW working in the BUDDHIST TEMPLE must be a *special* one,152,
告,revelation,"revelation, tell, inform, announce","The *revelation* makes the COW's MOUTH drop down, ""Hamburgers are made of what?!"".",272,
先,before,"before, ahead, previous, future, precedence","*before* human, minotaurs ruled Kreta. COWS with HUMAN LEGS!",117,
洗,wash,"wash, inquire into, probe",I *wash* my body with WATER BEFORE i go to sleep,686,
介,jammed in,"jammed in, shellfish, mediate, concern oneself with","under an UMBRELLA, a person with a SABER (CURVED SWORD / STICK) and a person with a WALKING STICK are *jammed in*",217,
叱,scolds,"scold, reprove","imagine SITTING ON THE GROUND in the corner as your teacher stands over you, her MOUTH  wide open as she *scolds* you in front of the entire class.",2032,suspend_rare
