kanji	keyword	meanings	story	frequency_rank	rtk_index	stroke_svg	anki_tag
宣	proclaim	proclaim, say, announce	I *proclaim* the SPAN of the HOUSE property	1083	0188	"<img src=""05ba3.svg"">"	
宵	wee hours	wee hours, evening, early night	during the *wee hours*, I light a CANDLE in my HOUSE	2174	0189	"<img src=""05bb5.svg"">"	suspend_rare
安	relaxes	relax, cheap, low, quiet, rested, contented, peaceful	a WOMAN best *relaxes* in the HOUSE instead of public, also because it's cheap	145	0190	"<img src=""05b89.svg"">"	
宴	banquet	banquet, feast, party	for International WOMENs DAY, a *banquet* is prepared in the HOUSE	1309	0191	"<img src=""05bb4.svg"">"	
寄	drawing near	draw near, stop in, bring near, gather, collect, send, forward	a STRANGER is *drawing near* to the house - help!!	514	0192	"<img src=""05bc4.svg"">"	
富	WEALTH	wealth, enrich, abundant	all the *WEALTH* is kept in the HOUSE	528	0193	"<img src=""05bcc.svg"">"	
貯	savings	savings, store, lay in, keep, wear mustache	MONEY stored in a separate HOUSE in the STREET (i.e. the bank) are my *savings*	1133	0194	"<img src=""08caf.svg"">"	
木	tree	tree, wood	atomic	337	0195	"<img src=""06728.svg"">"	
林	grove	grove, forest	TWO TREES make a small *grove*	818	0196	"<img src=""06797.svg"">"	
森	forest	forest, woods	THREE TREES make a *forest*	683	0197	"<img src=""068ee.svg"">"	
桂	Judas tree	Japanese Judas-tree, cinnamon tree	the *Judas tree* is so rare among TREES, its like a SQUARE JEWEL	1921	0198	"<img src=""06842.svg"">"	suspend_rare
柏	oak	oak, cypress	a TREE with the WHITE kashiwanoha cherry blossoms stands next to some *oak*	9999	0199	"<img src=""067cf.svg"">"	suspend_rare
枠	frame	frame, framework, spindle, spool, bounding-box, (kokuji)	the *frame* made from TREE wood shatters into NINE, TEN pieces when it falls	1320	0200	"<img src=""067a0.svg"">"	
梢	treetop	treetops, twig	from the *treetop*, all TREES have a RESEMBLANCE	9999	0201	"<img src=""068a2.svg"">"	suspend_rare
棚	shelf	shelf, ledge, rack, mount, mantle, trellis	A *shelf* is a WOODEN COMPANION to books.	1156	0202	"<img src=""068da.svg"">"	
杏	apricot	apricot	In Wachau, I take an *apricot* from a TREE and put it into my MOUTH	9999	0203	"<img src=""0674f.svg"">"	suspend_rare
桐	paulownia	paulownia	Natsume was searching in the WOODEN house for the *paulownia* room but they all looked the SAME	1834	0204	"<img src=""06850.svg"">"	suspend_rare
植	plant	plant	when thinking of a *plant*, I think of a TREE STRAIGHTAWAY	803	0205	"<img src=""0690d.svg"">"	
枯	withers	wither, die, dry up, be seasoned	when the TREE gets OLD, it *withers* more easily	1789	0206	"<img src=""067af.svg"">"	
朴	crude	crude, simple, plain, docile	a WOODEN MAGIC WAND is a very *crude* wooden item	1886	0207	"<img src=""06734.svg"">"	suspend_rare
村	village	village, town	TREES are GLUED together to form houses in a *village*	344	0208	"<img src=""06751.svg"">"	
相	international	inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy	i can see a TREE from a different country with my EYE - basically *international*	206	0209	"<img src=""076f8.svg"">"	
机	desk	desk, table	the perfect view from my *desk* is a TREE and a gust of WIND	1751	0210	"<img src=""0673a.svg"">"	
